budget,genres,id,imdb_id,popularity,poster_path,release_date,revenue,runtime,title,movieId,rating
32000000,"[{'id': 10402, 'name': 'Music'}, {'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",3989,tt0372588,11.428941,/crkPGNm0M19LHp8I5mhs75EqhSH.jpg,2004,50907422.0,98.0,Team America: World Police,3989,4.0
2900000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",248,tt0055312,2.6496049999999998,/4s5aoejcKbCawjESf2nCHIF67QZ.jpg,1961,5000000.0,136.0,Pocketful of Miracles,248,3.0
31000000,"[{'id': 10402, 'name': 'Music'}, {'id': 35, 'name': 'Comedy'}]",2005,tt0105417,18.83065,/7wQxLtybiUbtC6tsJh9htFEmqq3.jpg,1992,231605150.0,100.0,Sister Act,2005,3.6
1500000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",138222,tt1885300,5.875708,/2akSCt635Bp4tX94DYybRpnTkzk.jpg,2012,1938.0,90.0,Best Man Down,138222,2.7
25000000,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]",278,tt0111161,51.645403,/9O7gLzmreU0nGkIB6K3BsJbzvNv.jpg,1994,28341469.0,142.0,The Shawshank Redemption,278,3.0
12000000,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",60599,tt1764183,5.808496,/tn8a9qdYmUF8NMy1tmhoH4WnDXq.jpg,2012,35485056.0,100.0,Arbitrage,60599,3.1
15000000,"[{'id': 28, 'name': 'Action'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]",744,tt0092099,20.301019,/orGXnBKfT41LxZhitLkXhqUfJJW.jpg,1986,356830601.0,110.0,Top Gun,744,2.9
2000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",802,tt0056193,9.551293,/heRYtNrkHLj3Lwghr2jPBX7Yc29.jpg,1962,9250000.0,153.0,Lolita,802,3.5
31000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",6488,tt0099052,5.418428,/pz4TWF3r6xqXN41Iqsjbf06rAQs.jpg,1990,53208180.0,103.0,Arachnophobia,6488,2.9
25000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",6977,tt0477348,15.565484,/6o0UWX2naW7HK45PDNYmoMIk5qs.jpg,2007,171600000.0,122.0,No Country for Old Men,6977,3.1
160000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",1639,tt0120179,11.268531,/iHktqeAGoJpENiiuXfsXaHmhr7D.jpg,1997,164508066.0,121.0,Speed 2: Cruise Control,1639,3.6
52000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",26389,tt1179034,6.885592999999999,/41yioNp9apJ7xtYDaSxqBfm1p5T.jpg,2010,52826594.0,92.0,From Paris with Love,26389,3.5
22000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 37, 'name': 'Western'}]",581,tt0099348,11.654349,/hpmclspug1I8EwKSWhL7pWWltA.jpg,1990,424208848.0,181.0,Dances with Wolves,581,4.0
18000000,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",5876,tt0884328,8.435642,/uYVheUBf8ITaocUP4Og9GXxOMIH.jpg,2007,57096190.0,126.0,The Mist,5876,3.7
25000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]",942,tt0097733,12.834276,/7XAusKpFNv8x9sHpFLAS2lWCT8l.jpg,1989,227853986.0,114.0,Lethal Weapon 2,942,4.1
12000000,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]",4638,tt0425112,13.535195000000002,/5Jx6s6VXnunh8wCLgR0YgjwSgjh.jpg,2007,80573774.0,121.0,Hot Fuzz,4638,2.7
3000000,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]",5121,tt0072226,4.506948,/9jS4EeZjUSeBuM4Fe8ZR2HprwZR.jpg,1974,12800000.0,110.0,The Sugarland Express,5121,3.9
93000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",331,tt0163025,0.648867,/26L7XODsNlxX3VwkfuUnYOslbRF.jpg,2001,368780809.0,92.0,Jurassic Park III,331,3.3
2500000,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",452,tt0154421,9.174221000000001,/myMAaET7kCGSp3vyUcvd8hwTnD6.jpg,1998,7235.0,117.0,The Idiots,452,3.6
150000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",605,tt0242653,15.368205,/sKogjhfs5q3azmpW7DFKKAeLEG8.jpg,2003,424988211.0,129.0,The Matrix Revolutions,605,3.3
57000000,"[{'id': 14, 'name': 'Fantasy'}]",8840,tt0116136,23.636589999999998,/5bqI54aIyPDzPKkScwJprzbAsIi.jpg,1996,115267375.0,103.0,DragonHeart,8840,3.2
125000000,"[{'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}]",591,tt0382625,18.566706,/5IqaT3fza0Y9vKazjGwDGsNuuS8.jpg,2006,767820459.0,149.0,The Da Vinci Code,591,2.1
9000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}]",152747,tt2017038,12.74965,/5TiKyU8iiHy1HiVNAmtEqYErKom.jpg,2013,6108720.0,106.0,All Is Lost,152747,2.7
250000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]",127585,tt1877832,26.058586,/giUK8ppRbfistadVzHtpainkhq4.jpg,2014,747862775.0,131.0,X-Men: Days of Future Past,127585,2.7
24000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]",177,tt0101889,11.184385,/x93W5WrOOr3PCia1cANnWmAtUwQ.jpg,1991,41895491.0,137.0,The Fisher King,177,2.9
